setting,episodes,success_rate,avg_steps,avg_accuracy,avg_coverage,walker_return,mapper_return
baseline,100,0.56,321.77,0.8970833333333335,0.8970833333333335,-10.895290476190214,86.73944285714195
no_blackhole,100,0.4,317.4,0.8147916666666666,0.8147916666666666,-62.795142857142444,77.70719047619033
no_reset_action,100,0.46,342.06,0.8381944444444445,0.8381944444444445,-44.61408571428551,79.91511428571376
no_action_mask,100,0.06,402.99,0.8403472222222221,0.8403472222222221,-150.87270000000018,19.037766666666524
