accuracy,coverage,episode,epsilon_m,epsilon_w,mapper_return,phase,rolling_success_100,steps,success,update_mapper,update_walker,walker_return
0.9166666666666666,0.9166666666666666,0,0.0,1.0,54.20714285714335,W_warmup_6x6,0.0,315,0,,,-198.14999999999952
0.9761904761904762,0.9761904761904762,1,0.0,0.9985,52.73571428571464,W_warmup_6x6,0.0,315,0,,,-207.34999999999948
0.9761904761904762,0.9761904761904762,2,0.0,0.9970022500000001,58.135714285714776,W_warmup_6x6,0.0,315,0,,,-213.2499999999994
1.0,1.0,3,0.0,0.9955067466250002,71.25523809523848,W_warmup_6x6,0.25,284,1,,,-153.88190476190456
0.9880952380952381,0.9880952380952381,4,0.0,0.9940134865050627,74.12095238095242,W_warmup_6x6,0.4,176,1,,,-46.570476190476086
0.9880952380952381,0.9880952380952381,5,0.0,0.9925224662753052,72.19380952380988,W_warmup_6x6,0.5,233,1,,,-98.83761904761911
0.9404761904761905,0.9404761904761905,6,0.0,0.9910336825758923,52.17857142857176,W_warmup_6x6,0.42857142857142855,315,0,,,-227.54999999999933
0.9523809523809523,0.9523809523809523,7,0.0,0.9895471320520285,56.564285714286164,W_warmup_6x6,0.375,315,0,,,-197.04999999999967
0.9285714285714286,0.9285714285714286,8,0.0,0.9880628113539505,54.592857142857625,W_warmup_6x6,0.3333333333333333,315,0,,,-222.1499999999993
0.9166666666666666,0.9166666666666666,9,0.0,0.9865807171369196,54.207142857143296,W_warmup_6x6,0.3,315,0,,,-203.54999999999953
0.9166666666666666,0.9166666666666666,10,0.0,0.9851008460612143,51.20714285714332,W_warmup_6x6,0.2727272727272727,315,0,,,-230.9499999999993
0.9880952380952381,0.9880952380952381,11,0.0,0.9836231947921226,70.92619047619073,W_warmup_6x6,0.3333333333333333,235,1,,,-104.94523809523824
0.9404761904761905,0.9404761904761905,12,0.0,0.9821477599999344,55.37857142857193,W_warmup_6x6,0.3076923076923077,315,0,,,-211.24999999999943
0.9047619047619048,0.9047619047619048,13,0.0,0.9806745383599346,53.22142857142905,W_warmup_6x6,0.2857142857142857,315,0,,,-204.1499999999995
0.9404761904761905,0.9404761904761905,14,0.0,0.9792035265523947,52.17857142857176,W_warmup_6x6,0.26666666666666666,315,0,,,-225.14999999999947
0.9761904761904762,0.9761904761904762,15,0.0,0.9777347212625662,57.335714285714545,W_warmup_6x6,0.25,315,0,,,-203.74999999999952
0.8452380952380952,0.8452380952380952,16,0.0,0.9762681191806724,47.49285714285754,W_warmup_6x6,0.23529411764705882,315,0,,,-219.5499999999994
0.9285714285714286,0.9285714285714286,17,0.0,0.9748037170019014,49.992857142857424,W_warmup_6x6,0.2222222222222222,315,0,,,-231.74999999999918
0.9047619047619048,0.9047619047619048,18,0.0,0.9733415114263986,53.42142857142903,W_warmup_6x6,0.21052631578947367,315,0,,,-195.54999999999953
0.9523809523809523,0.9523809523809523,19,0.0,0.971881499159259,55.36428571428622,W_warmup_6x6,0.2,315,0,,,-200.64999999999955
0.9761904761904762,0.9761904761904762,20,0.0,0.9704236769105202,58.13571428571479,W_warmup_6x6,0.19047619047619047,315,0,,,-207.2499999999994
0.9880952380952381,0.9880952380952381,21,0.0,0.9689680413951545,71.48380952380985,W_warmup_6x6,0.22727272727272727,254,1,,,-122.46761904761914
0.7857142857142857,0.7857142857142857,22,0.0,0.9675145893330618,41.96428571428619,W_warmup_6x6,0.21739130434782608,315,0,,,-253.4499999999991
0.6785714285714286,0.6785714285714286,23,0.0,0.9660633174490623,38.09285714285708,W_warmup_6x6,0.20833333333333334,315,0,,,-248.14999999999907
0.9047619047619048,0.9047619047619048,24,0.0,0.9646142224728887,53.42142857142908,W_warmup_6x6,0.2,315,0,,,-205.54999999999953
0.9761904761904762,0.9761904761904762,25,0.0,0.9631673011391795,58.13571428571472,W_warmup_6x6,0.19230769230769232,315,0,,,-201.9499999999996
1.0,1.0,26,0.0,0.9617225501874708,71.08619047619058,W_warmup_6x6,0.2222222222222222,289,1,,,-155.15095238095228
1.0,1.0,27,0.0,0.9602799663621896,75.75190476190485,W_warmup_6x6,0.25,151,1,,,-0.8252380952381344
0.9880952380952381,0.9880952380952381,28,0.0,0.9588395464126463,73.3433333333335,W_warmup_6x6,0.27586206896551724,199,1,,,-57.90809523809516
0.9880952380952381,0.9880952380952381,29,0.0,0.9574012870930274,71.35428571428588,W_warmup_6x6,0.3,246,1,,,-121.33714285714288
